,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
116,       4336;19510427;-999;-999;-999;    5;  23.5;   1;-999;   0;   7.7;  12.3;    -999;   10.8;   92.00;   13.5;    9.5;    9.6;eor
117,       4336;19510428;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.3;   6.8;    -999;    3.9;   82.00;   10.0;    2.5;    4.5;eor
118,       4336;19510429;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.7;   6.7;    -999;    4.6;   79.00;    7.7;    1.0;    0.2;eor
119,       4336;19510430;-999;-999;-999;    5;   1.0;   1;-999;   0;   3.3;   7.3;    -999;    5.2;   80.00;    9.0;    0.6;    0.2;eor
120,       4336;19510501;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.3;   8.0;    -999;   11.4;   61.00;   16.8;    0.6;    1.4;eor
121,       4336;19510502;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;  11.2;    -999;   15.2;   67.00;   19.3;    6.2;    4.2;eor
122,       4336;19510503;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;  12.1;    -999;   15.1;   69.00;   21.0;    8.6;    6.4;eor
123,       4336;19510504;-999;-999;-999;    5;   8.1;   1;-999;   0;   4.0;  11.3;    -999;   10.4;   87.00;   15.5;    8.0;    6.0;eor
124,       4336;19510505;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;   9.6;    -999;   11.6;   71.00;   15.7;    3.7;    2.2;eor
125,       4336;19510506;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.0;  10.7;    -999;   14.3;   66.00;   19.2;    9.2;    7.7;eor
126,       4336;19510507;-999;-999;-999;    5;   1.0;   1;-999;   0;   8.0;  12.3;    -999;   11.6;   89.00;   15.4;    9.7;    8.9;eor
127,       4336;19510508;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.7;  10.5;    -999;   10.4;   83.00;   14.8;    8.6;    8.2;eor
128,       4336;19510509;-999;-999;-999;    5;   2.0;   1;-999;   0;   7.0;  10.0;    -999;   10.8;   76.00;   15.1;    5.7;    4.0;eor
129,       4336;19510510;-999;-999;-999;    5;   0.0;   0;-999;   0;   7.0;  10.0;    -999;   10.8;   76.00;   14.1;    7.8;    7.8;eor
130,       4336;19510511;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;   6.5;    -999;   10.2;   52.00;   14.0;    5.0;    3.5;eor
131,       4336;19510512;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.0;   7.5;    -999;    9.8;   62.00;   14.2;    3.7;    3.0;eor
132,       4336;19510513;-999;-999;-999;    5;   0.5;   1;-999;   0;   4.0;   8.1;    -999;   13.0;   55.00;   17.1;    3.6;    1.0;eor
